"iucn2020_binomial","adult_mass_g","dphy_invertebrate","dphy_vertebrate","dphy_plant","foraging_stratum","activity_cycle"
"Alouatta caraya",5462.5,0,0,100,"Ar","diurnal only"
"Alouatta discolor",6262.8,0,0,100,"Ar","diurnal only"
"Alouatta guariba",5188.33,0,0,100,"Ar","diurnal only"
"Alouatta juara",6398.31,0,0,100,"Ar","diurnal only"
"Alouatta macconnelli",6398.31,0,0,100,"Ar","diurnal only"
"Alouatta nigerrima",6157.91,0,0,100,"Ar","diurnal only"
"Alouatta puruensis",6398.31,0,0,100,"Ar","diurnal only"
"Alouatta seniculus",6398.31,0,0,100,"Ar","diurnal only"
"Alouatta ululata",6682.1,0,0,100,"Ar","diurnal only"
"Ametrida centurio",11.305,0,0,100,"Ar","nocturnal only"
"Anoura caudifer",11.155,30,0,70,"Ar","nocturnal only"
"Anoura geoffroyi",15.2,30,0,70,"Ar","nocturnal only"
"Aotus azarae",1230,20,10,70,"Ar","nocturnal only"
"Aotus nancymaae",791.03,20,10,70,"Ar","nocturnal only"
"Aotus nigriceps",1057,20,10,70,"Ar","nocturnal only"
"Aotus trivirgatus",872.98,20,10,70,"Ar","nocturnal only"
"Aotus vociferans",872.995,20,10,70,"Ar","nocturnal only"
"Artibeus concolor",19.675,10,0,90,"Ar","nocturnal only"
"Artibeus fimbriatus",63.895,10,0,90,"Ar","nocturnal only"
"Artibeus lituratus",46.1,10,0,90,"Ar","nocturnal only"
"Artibeus obscurus",45.65,10,0,90,"Ar","nocturnal only"
"Artibeus planirostris",47,20,0,80,"Ar","nocturnal only"
"Ateles belzebuth",6692.42,10,10,80,"Ar","diurnal only"
"Ateles chamek",7294.46,10,10,80,"Ar","diurnal only"
"Ateles marginatus",6229.28,10,10,80,"Ar","diurnal only"
"Ateles paniscus",7887.5,10,10,80,"Ar","diurnal only"
"Atelocynus microtis",9500,0,80,20,"G","nocturnal only"
"Bassaricyon alleni",1236.88,20,10,70,"Ar","mixed"
"Bibimys labiosus",29,0,0,100,"G","nocturnal only"
"Blarinomys breviceps",36.79,100,0,0,"G","mixed"
"Blastocerus dichotomus",102500,0,0,100,"G","mixed"
"Brachyteles arachnoides",10.839,0,0,100,"Ar","mixed"
"Brachyteles hypoxanthus",10.839,0,0,100,"Ar","mixed"
"Bradypus torquatus",4184.21,0,0,100,"Ar","mixed"
"Bradypus tridactylus",4072.9,0,0,100,"Ar","mixed"
"Bradypus variegatus",3963.18,0,0,100,"Ar","mixed"
"Brucepattersonius griserufescens",21.85,82,0,18,"G","mixed"
"Brucepattersonius igniventris",32,82,0,18,"G","mixed"
"Brucepattersonius iheringi",43,90,0,10,"G","diurnal only"
"Brucepattersonius soricinus",28.7,82,0,18,"G","mixed"
"Cabassous tatouay",5349.95,100,0,0,"G","mixed"
"Cabassous unicinctus",3987.97,100,0,0,"G","mixed"
"Cacajao ayresi",2935,5,5,90,"Ar","diurnal only"
"Cacajao calvus",3421.04,10,10,80,"Ar","diurnal only"
"Cacajao hosomi",3100,10,10,80,"Ar","diurnal only"
"Cacajao melanocephalus",3121.58,5,5,90,"Ar","diurnal only"
"Callibella humilis",167.5,20,0,80,"Ar","diurnal only"
"Callicebus barbarabrownae",1390.8,20,0,80,"Ar","diurnal only"
"Callicebus coimbrai",1390.8,20,0,80,"Ar","diurnal only"
"Callicebus melanochir",1390.8,20,0,80,"Ar","diurnal only"
"Callicebus nigrifrons",1390.8,20,0,80,"Ar","diurnal only"
"Callicebus personatus",1390.8,20,0,80,"Ar","diurnal only"
"Callimico goeldii",556.5,40,10,50,"Ar","diurnal only"
"Callistomys pictus",518.99,0,0,100,"G","nocturnal only"
"Callithrix aurita",272.705,20,10,70,"Ar","diurnal only"
"Callithrix flaviceps",290.21,20,10,70,"Ar","diurnal only"
"Callithrix geoffroyi",299.605,20,10,70,"Ar","diurnal only"
"Callithrix jacchus",255.2,20,10,70,"Ar","diurnal only"
"Callithrix kuhlii",307,20,10,70,"Ar","diurnal only"
"Callithrix penicillata",307,20,10,70,"Ar","diurnal only"
"Calomys callosus",48.6,0,0,100,"G","mixed"
"Calomys expulsus",48,0,0,100,"G","mixed"
"Calomys hummelincki",27,0,0,100,"G","mixed"
"Calomys laucha",24,0,0,100,"G","mixed"
"Calomys tener",14,0,0,100,"G","mixed"
"Calomys tocantinsi",25.3,0,0,100,"G","mixed"
"Caluromys lanatus",410,20,10,70,"Ar","mixed"
"Caluromys philander",298.235,20,10,70,"Ar","mixed"
"Caluromysiops irrupta",257.48,20,0,80,"Ar","nocturnal only"
"Carollia benkeithi",13.1,0,0,100,"Ar","nocturnal only"
"Carollia brevicauda",14.85,0,0,100,"Ar","nocturnal only"
"Carollia perspicillata",16.4,0,0,100,"Ar","nocturnal only"
"Carterodon sulcidens",113.8,0,0,100,"G","nocturnal only"
"Cavia aperea",341,0,0,100,"G","mixed"
"Cavia fulgida",282.5,0,0,100,"G","mixed"
"Cavia intermedia",578.88,0,0,100,"G","mixed"
"Cavia magna",459.99,0,0,100,"G","mixed"
"Cebuella niveiventris",116.83,20,20,60,"Ar","diurnal only"
"Cebuella pygmaea",116.83,20,20,60,"Ar","diurnal only"
"Cebus albifrons",2488.59,20,10,70,"Ar","diurnal only"
"Cebus castaneus",2552.5,10,0,90,"Ar","diurnal only"
"Cebus cuscinus",2900,19,10,71,"Ar","diurnal only"
"Cebus kaapori",2670.07,10,0,90,"Ar","diurnal only"
"Cebus olivaceus",2552.5,19,9,72,"Ar","diurnal only"
"Cebus unicolor",2488.59,20,10,70,"Ar","diurnal only"
"Centronycteris maximiliani",23,100,0,0,"A","nocturnal only"
"Cerdocyon thous",5741.66,50,50,0,"G","nocturnal only"
"Cerradomys maracajuensis",49.91,29,14,57,"G","mixed"
"Cerradomys marinhus",49.91,29,14,57,"G","mixed"
"Cerradomys scotti",49.91,29,14,57,"G","mixed"
"Cerradomys subflavus",49.91,20,0,80,"G","mixed"
"Chaetomys subspinosus",1299.99,0,0,100,"Ar","nocturnal only"
"Cheracebus lucifer",1.129,20,0,80,"Ar","diurnal only"
"Cheracebus lugens",1.129,20,0,80,"Ar","diurnal only"
"Cheracebus regulus",1.129,20,0,80,"Ar","diurnal only"
"Cheracebus torquatus",1.129,20,0,80,"Ar","diurnal only"
"Chiroderma doriae",19.9,0,0,100,"Ar","nocturnal only"
"Chiroderma trinitatum",13.91,0,0,100,"Ar","nocturnal only"
"Chiroderma villosum",23.81,0,0,100,"Ar","nocturnal only"
"Chiroderma vizottoi",36,0,0,100,"A","nocturnal only"
"Chironectes minimus",856,50,30,20,"G","nocturnal only"
"Chiropotes albinasus",2900,10,0,90,"Ar","diurnal only"
"Chiropotes chiropotes",2942.5,10,0,90,"Ar","diurnal only"
"Chiropotes sagulatus",2942.5,10,0,90,"Ar","diurnal only"
"Chiropotes satanas",2942.5,10,0,90,"Ar","diurnal only"
"Chiropotes utahickae",2942.5,0,0,100,"Ar","diurnal only"
"Choeroniscus minor",8.63,30,0,70,"Ar","nocturnal only"
"Choloepus didactylus",6250,0,0,100,"Ar","nocturnal only"
"Choloepus hoffmanni",4250,0,0,100,"Ar","nocturnal only"
"Chrotopterus auritus",84.38,30,40,30,"S","nocturnal only"
"Chrysocyon brachyurus",22250,10,70,20,"G","mixed"
"Clyomys laticeps",115.5,0,0,100,"G","nocturnal only"
"Coendou baturitensis",3900,0,0,100,"Ar","nocturnal only"
"Coendou bicolor",4492.49,0,0,100,"Ar","nocturnal only"
"Coendou insidiosus",998.32,0,0,100,"Ar","nocturnal only"
"Coendou melanurus",1449.16,20,0,80,"Ar","nocturnal only"
"Coendou nycthemera",2999.98,0,0,100,"Ar","nocturnal only"
"Coendou prehensilis",3900,0,0,100,"Ar","nocturnal only"
"Coendou roosmalenorum",700,0,0,100,"Ar","nocturnal only"
"Coendou speratus",1650,0,0,100,"Ar","nocturnal only"
"Coendou spinosus",1250.39,0,0,100,"Ar","nocturnal only"
"Conepatus chinga",3400,80,10,10,"G","nocturnal only"
"Conepatus semistriatus",1598.67,80,10,10,"G","nocturnal only"
"Cormura brevirostris",9.26,100,0,0,"A","nocturnal only"
"Cryptonanus agricolai",10,20,0,80,"S","mixed"
"Cryptonanus chacoensis",15.5,20,0,80,"G","nocturnal only"
"Cryptonanus guahybae",22.8,20,0,80,"G","nocturnal only"
"Ctenomys boliviensis",462.6,0,0,100,"G","mixed"
"Ctenomys flamarioni",277.8,0,0,100,"G","mixed"
"Ctenomys ibicuiensis",200,0,0,100,"G","mixed"
"Ctenomys lami",238.5,0,0,100,"G","mixed"
"Ctenomys minutus",92,0,0,100,"G","mixed"
"Ctenomys torquatus",242.245,0,0,100,"G","mixed"
"Cuniculus paca",9000,0,0,100,"G","nocturnal only"
"Cyclopes didactylus",251.975,100,0,0,"Ar","nocturnal only"
"Cynomops abrasus",35.39,100,0,0,"A","nocturnal only"
"Cynomops greenhalli",15.87,100,0,0,"A","nocturnal only"
"Cynomops milleri",12.16,100,0,0,"A","nocturnal only"
"Cynomops paranus",12.16,100,0,0,"A","nocturnal only"
"Cynomops planirostris",12.84,100,0,0,"A","nocturnal only"
"Cyttarops alecto",5.3,100,0,0,"A","nocturnal only"
"Dactylomys boliviensis",689.39,0,0,100,"Ar","nocturnal only"
"Dactylomys dactylinus",649.98,0,0,100,"Ar","nocturnal only"
"Dasyprocta azarae",3.412,10,0,90,"G","mixed"
"Dasyprocta croconota",2500,9,0,91,"G","mixed"
"Dasyprocta fuliginosa",3500,10,0,90,"G","mixed"
"Dasyprocta iacki",3050,9,0,91,"G","mixed"
"Dasyprocta leporina",2.893,10,0,90,"G","mixed"
"Dasyprocta prymnolopha",2900,10,0,90,"G","mixed"
"Dasyprocta variegata",4100,0,0,100,"G","mixed"
"Dasypus hybridus",1500,100,0,0,"G","nocturnal only"
"Dasypus kappleri",9.926,100,0,0,"G","nocturnal only"
"Dasypus novemcinctus",3949,100,0,0,"G","nocturnal only"
"Dasypus septemcinctus",1500.82,100,0,0,"G","nocturnal only"
"Delomys collinus",67.5,23,1,76,"G","nocturnal only"
"Delomys dorsalis",67.5,23,1,76,"G","nocturnal only"
"Delomys sublineatus",89.99,22,2,76,"G","nocturnal only"
"Deltamys kempi",26.4,20,0,80,"G","mixed"
"Dermanura anderseni",6.91,10,0,90,"Ar","nocturnal only"
"Dermanura cinerea",12.7,10,0,90,"Ar","nocturnal only"
"Dermanura glauca",12.505,10,0,90,"Ar","nocturnal only"
"Dermanura gnoma",12.31,20,0,80,"Ar","nocturnal only"
"Dermanura phaeotis",11.69,10,0,90,"Ar","nocturnal only"
"Desmodus rotundus",33.18,0,100,0,"G","nocturnal only"
"Diaemus youngii",36.6,0,100,0,"G","nocturnal only"
"Diclidurus albus",18.5,100,0,0,"A","nocturnal only"
"Diclidurus ingens",12.3,100,0,0,"A","nocturnal only"
"Diclidurus isabella",12.61,100,0,0,"A","nocturnal only"
"Diclidurus scutatus",13.62,100,0,0,"A","nocturnal only"
"Didelphis albiventris",1030.47,20,60,20,"S","nocturnal only"
"Didelphis aurita",1.149,20,60,20,"S","nocturnal only"
"Didelphis imperfecta",1030.47,50,0,50,"S","nocturnal only"
"Didelphis marsupialis",1.149,20,60,20,"S","nocturnal only"
"Dinomys branickii",12500,0,0,100,"G","nocturnal only"
"Diphylla ecaudata",28.11,0,100,0,"G","nocturnal only"
"Dryadonycteris capixaba",5,0,0,100,"A","nocturnal only"
"Drymoreomys albimaculatus",64,0,20,80,"G","mixed"
"Echimys chrysurus",624.995,0,0,100,"Ar","nocturnal only"
"Echimys vieirai",509.8,10,0,90,"Ar","nocturnal only"
"Eira barbara",4134.99,10,69,21,"G","mixed"
"Eptesicus brasiliensis",9.2,100,0,0,"A","nocturnal only"
"Eptesicus chiriquinus",9.2,100,0,0,"A","nocturnal only"
"Eptesicus diminutus",5.99,100,0,0,"A","nocturnal only"
"Eptesicus furinalis",7.7,100,0,0,"A","nocturnal only"
"Eptesicus taddeii",13,100,0,0,"A","nocturnal only"
"Eumops auripendulus",28.49,100,0,0,"A","nocturnal only"
"Eumops bonariensis",12.22,100,0,0,"A","nocturnal only"
"Eumops dabbenei",58.5,100,0,0,"A","nocturnal only"
"Eumops delticus",12.22,100,0,0,"A","nocturnal only"
"Eumops glaucinus",36.4,100,0,0,"A","nocturnal only"
"Eumops hansae",15.47,100,0,0,"A","nocturnal only"
"Eumops maurus",20.66,100,0,0,"A","nocturnal only"
"Eumops patagonicus",12.22,100,0,0,"A","nocturnal only"
"Eumops perotis",56.5,100,0,0,"A","nocturnal only"
"Eumops trumbulli",56.5,100,0,0,"A","nocturnal only"
"Euphractus sexcinctus",4850,50,0,50,"G","mixed"
"Euryoryzomys emmonsae",22.65,29,14,57,"G","mixed"
"Euryoryzomys lamia",60.5,20,0,80,"G","mixed"
"Euryoryzomys macconnelli",66.49,20,0,80,"G","mixed"
"Euryoryzomys nitidus",51.63,20,0,80,"G","mixed"
"Euryoryzomys russatus",60.5,20,0,80,"G","mixed"
"Euryzygomatomys spinosus",187.49,0,0,100,"G","nocturnal only"
"Furipterus horrens",3.15,100,0,0,"A","nocturnal only"
"Galea flavidens",450,0,0,100,"G","diurnal only"
"Galea spixii",360.61,0,0,100,"G","diurnal only"
"Galictis cuja",1000,20,60,20,"G","mixed"
"Galictis vittata",2325,20,60,20,"G","mixed"
"Gardnerycteris crenulatum",13.91,50,0,50,"S","nocturnal only"
"Glironia venusta",140,40,20,40,"Ar","nocturnal only"
"Glossophaga commissarisi",9.3,40,0,60,"Ar","nocturnal only"
"Glossophaga longirostris",10.9,40,0,60,"Ar","nocturnal only"
